journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2156-3357,2156-3365,3.8,Q2,Q2
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,2329-9231,2329-9231,3.1,Q2,Q2
IEEE Journal on Miniaturization for Air and Space Systems,,2576-3164,2.6,Q2,Q2|Q3
IEEE Journal on Multiscale and Multiphysics Computational Techniques,,2379-8793,2.1,Q2,Q2|Q3
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008,16.8,Q1,Q1
IEEE Journal on Selected Areas in Information Theory,,2641-8770,2.3,Q2,Q2|Q3
IEEE Latin America Transactions,1548-0992,1548-0992,1.6,Q3,Q3|Q4
IEEE Letters on Electromagnetic Compatibility Practice and Applications,,2637-6423,1.4,Q4,Q4
IEEE Magnetics Letters,1949-307X,1949-3088,1.6,Q4,Q4
IEEE MICRO,0272-1732,1937-4143,4.4,Q1,Q1|Q2
IEEE Microwave and Wireless Technology Letters,2771-957X,2771-9588,3.4,Q2,Q2
IEEE MICROWAVE MAGAZINE,1527-3342,1557-9581,3.0,Q2,Q2|Q3
IEEE MULTIMEDIA,1070-986X,1941-0166,3.0,Q2,Q2|Q3
IEEE Nanotechnology Magazine,1932-4510,1942-7808,2.4,Q4,Q4
IEEE NETWORK,0890-8044,1558-156X,8.8,Q1,Q1
IEEE Networking Letters,,2576-3156,3.3,Q2,Q2|Q3
IEEE Open Access Journal of Power and Energy,,2687-7910,2.8,Q2,Q2|Q3
IEEE Open Journal of Antennas and Propagation,,2637-6431,3.4,Q2,Q2
IEEE Open Journal of Circuits and Systems,,2644-1225,1.8,Q3,Q3
IEEE Open Journal of Control Systems,,2694-085X,2.1,Q3,Q3
IEEE Open Journal of Engineering in Medicine and Biology,,2644-1276,3.1,Q2,Q2
IEEE Open Journal of Industry Applications,,2644-1241,3.8,Q2,Q2
IEEE Open Journal of Instrumentation and Measurement,,2768-7236,2.0,Q3,Q3
IEEE Open Journal of Intelligent Transportation Systems,,2687-7813,4.6,Q2,Q2
IEEE Open Journal of Nanotechnology,,2644-1292,3.0,Q3,Q3
IEEE Open Journal of Power Electronics,,2644-1314,4.8,Q2,Q2
IEEE Open Journal of Signal Processing,,2644-1322,2.6,Q3,Q3
IEEE Open Journal of the Communications Society,,2644-125X,6.2,Q1,Q1
IEEE Open Journal of the Computer Society,,2644-1268,6.0,Q1,Q1|Q2
IEEE Open Journal of the Industrial Electronics Society,,2644-1284,4.6,Q2,Q2
IEEE Open Journal of the Solid-State Circuits Society,,2644-1349,3.7,Q2,Q2
"IEEE Open Journal of Ultrasonics, Ferroelectrics, and Frequency Control",,2694-0884,1.8,Q2,Q2|Q3
IEEE Open Journal of Vehicular Technology,,2644-1330,6.6,Q1,Q1
IEEE PERVASIVE COMPUTING,1536-1268,1558-2590,1.9,Q3,Q3|Q4
IEEE Photonics Journal,1943-0655,1943-0647,2.6,Q2,Q2|Q3
IEEE PHOTONICS TECHNOLOGY LETTERS,1041-1135,1941-0174,2.4,Q3,Q3
IEEE Power Electronics Magazine,2329-9207,2329-9215,2.6,Q3,Q3
IEEE Power & Energy Magazine,1540-7977,1558-4216,2.9,Q2,Q2
IEEE Pulse,2154-2287,2154-2317,1.2,Q4,Q4
IEEE Reviews in Biomedical Engineering,1937-3333,1941-1189,16.0,Q1,Q1
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA,,1932-8540,0.9,Q4,Q4
IEEE Robotics and Automation Letters,2377-3766,2377-3766,5.3,Q2,Q2
IEEE ROBOTICS & AUTOMATION MAGAZINE,1070-9932,1558-223X,9.8,Q1,Q1
IEEE SECURITY & PRIVACY,1540-7993,1558-4046,2.9,Q2,Q2|Q3
IEEE SENSORS JOURNAL,1530-437X,1558-1748,4.5,Q1,Q1|Q2
IEEE Sensors Letters,2475-1472,2475-1472,2.4,Q2,Q2|Q3
IEEE SIGNAL PROCESSING LETTERS,1070-9908,1558-2361,3.6,Q2,Q2
IEEE SIGNAL PROCESSING MAGAZINE,1053-5888,1558-0792,10.8,Q1,Q1
IEEE SOFTWARE,0740-7459,1937-4194,4.0,Q2,Q2
IEEE Solid-State Circuits Letters,,2573-9603,2.0,Q3,Q3
IEEE SPECTRUM,0018-9235,1939-9340,2.2,Q3,Q3
IEEE Systems Journal,1932-8184,1937-9234,4.9,Q1,Q1|Q2
IEEE Systems Man and Cybernetics Magazine,2380-1298,2333-942X,2.4,Q3,Q3
IEEE TECHNOLOGY AND SOCIETY MAGAZINE,0278-0097,1937-416X,2.8,Q2,Q2
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,0018-9251,1557-9603,7.0,Q1,Q1
IEEE Transactions on Affective Computing,1949-3045,1949-3045,11.3,Q1,Q1
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,0018-926X,1558-2221,5.9,Q1,Q1
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,1051-8223,1558-2515,1.8,Q3,Q3
IEEE Transactions on Audio Speech and Language Processing,,2998-4173,,,
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,0018-9286,1558-2523,7.0,Q1,Q1
IEEE Transactions on Automation Science and Engineering,1545-5955,1558-3783,7.9,Q1,Q1
IEEE Transactions on Big Data,2332-7790,2332-7790,8.1,Q1,Q1
IEEE Transactions on Biomedical Circuits and Systems,1932-4545,1940-9990,5.1,Q1,Q1|Q2
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,0018-9294,1558-2531,4.4,Q2,Q2
"IEEE Transactions on Biometrics, Behavior, and Identity Science",,2637-6407,4.4,Q2,Q2
IEEE TRANSACTIONS ON BROADCASTING,0018-9316,1557-9611,5.9,Q1,Q1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1051-8215,1558-2205,10.8,Q1,Q1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,1549-8328,1558-0806,5.6,Q1,Q1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,1549-7747,1558-3791,4.6,Q2,Q2
IEEE Transactions on Cloud Computing,2168-7161,2168-7161,5.3,Q1,Q1
IEEE Transactions on Cognitive and Developmental Systems,2379-8920,2379-8939,4.7,Q1,Q1|Q2
IEEE Transactions on Cognitive Communications and Networking,2332-7731,2332-7731,8.0,Q1,Q1
IEEE TRANSACTIONS ON COMMUNICATIONS,0090-6778,1558-0857,8.4,Q1,Q1
IEEE Transactions on Components Packaging and Manufacturing Technology,2156-3950,2156-3985,3.3,Q2,Q2|Q3
IEEE Transactions on Computational Biology and Bioinformatics,,2998-4165,,,
IEEE Transactions on Computational Imaging,2573-0436,2333-9403,4.7,Q2,Q2
IEEE Transactions on Computational Social Systems,2329-924X,2329-924X,4.6,Q2,Q2
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,0278-0070,1937-4151,3.6,Q2,Q2
IEEE TRANSACTIONS ON COMPUTERS,0018-9340,1557-9956,4.9,Q2,Q2
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,0098-3063,1558-4127,9.9,Q1,Q1
IEEE Transactions on Control of Network Systems,2325-5870,2372-2533,5.3,Q1,Q1
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,1558-0865,4.4,Q2,Q2
IEEE Transactions on Cybernetics,2168-2267,2168-2275,11.3,Q1,Q1
IEEE Transactions on Dependable and Secure Computing,1545-5971,1941-0018,6.8,Q1,Q1
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1530-4388,1558-2574,2.7,Q3,Q3
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,1070-9878,1558-4135,3.3,Q2,Q2
IEEE TRANSACTIONS ON EDUCATION,0018-9359,1557-9638,2.5,Q2,Q2|Q3
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,0018-9375,1558-187X,2.6,Q3,Q3
IEEE TRANSACTIONS ON ELECTRON DEVICES,0018-9383,1557-9646,3.6,Q2,Q2
IEEE Transactions on Emerging Topics in Computational Intelligence,2471-285X,2471-285X,6.0,Q2,Q2
IEEE Transactions on Emerging Topics in Computing,2168-6750,2168-6750,4.8,Q2,Q2
IEEE TRANSACTIONS ON ENERGY CONVERSION,0885-8969,1558-0059,6.1,Q1,Q1|Q2
IEEE Transactions on Energy Markets Policy and Regulation,,2771-9626,3.7,Q2,Q2|Q3
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,0018-9391,1558-0040,6.2,Q1,Q1
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,1941-0026,15.9,Q1,Q1
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1941-0034,10.2,Q1,Q1
IEEE Transactions on Games,2475-1502,2475-1510,3.0,Q2,Q2|Q3
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0196-2892,1558-0644,9.4,Q1,Q1
IEEE Transactions on Green Communications and Networking,2473-2400,2473-2400,6.9,Q1,Q1
IEEE Transactions on Haptics,1939-1412,2329-4051,3.1,Q2,Q2
IEEE Transactions on Human-Machine Systems,2168-2291,2168-2305,4.4,Q2,Q2
IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1941-0042,15.3,Q1,Q1
IEEE Transactions on Industrial Cyber-Physical Systems,,2832-7004,7.4,Q1,Q1
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,0278-0046,1557-9948,7.4,Q1,Q1
IEEE Transactions on Industrial Informatics,1551-3203,1941-0050,9.8,Q1,Q1
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,0093-9994,1939-9367,5.2,Q1,Q1
IEEE Transactions on Information Forensics and Security,1556-6013,1556-6021,8.7,Q1,Q1
IEEE TRANSACTIONS ON INFORMATION THEORY,0018-9448,1557-9654,2.6,Q1,Q1|Q2|Q3
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0018-9456,1557-9662,7.0,Q1,Q1
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,1524-9050,1558-0016,9.1,Q1,Q1
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1041-4347,1558-2191,11.6,Q1,Q1
IEEE Transactions on Learning Technologies,1939-1382,1939-1382,7.4,Q1,Q1
IEEE Transactions on Machine Learning in Communications and Networking,,2831-316X,4.9,Q2,Q2
IEEE TRANSACTIONS ON MAGNETICS,0018-9464,1941-0069,1.9,Q3,Q3
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,1558-254X,12.4,Q1,Q1
IEEE Transactions on Medical Robotics and Bionics,,2576-3202,4.3,Q2,Q2
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,0018-9480,1557-9670,5.2,Q1,Q1|Q2
IEEE TRANSACTIONS ON MOBILE COMPUTING,1536-1233,1558-0660,8.8,Q1,Q1
IEEE Transactions on Molecular Biological and Multi-Scale Communications,,2332-7804,2.5,Q3,Q3
IEEE TRANSACTIONS ON MULTIMEDIA,1520-9210,1941-0077,9.9,Q1,Q1
IEEE TRANSACTIONS ON NANOBIOSCIENCE,1536-1241,1558-2639,4.2,Q1,Q1|Q3
IEEE TRANSACTIONS ON NANOTECHNOLOGY,1536-125X,1941-0085,2.5,Q3,Q3
IEEE Transactions on Network and Service Management,1932-4537,1932-4537,5.7,Q1,Q1
IEEE Transactions on Network Science and Engineering,2327-4697,2327-4697,7.3,Q1,Q1
IEEE Transactions on Networking,,2998-4157,,,
IEEE Transactions on Neural Networks and Learning Systems,2162-237X,2162-2388,9.7,Q1,Q1
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,1534-4320,1558-0210,6.6,Q1,Q1
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,0018-9499,1558-1578,2.4,Q2,Q2|Q3
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,1045-9219,1558-2183,5.9,Q1,Q1
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,20.4,Q1,Q1
IEEE TRANSACTIONS ON PLASMA SCIENCE,0093-3813,1939-9375,1.6,Q3,Q3
IEEE TRANSACTIONS ON POWER DELIVERY,0885-8977,1937-4208,4.7,Q2,Q2
IEEE TRANSACTIONS ON POWER ELECTRONICS,0885-8993,1941-0107,7.1,Q1,Q1
IEEE TRANSACTIONS ON POWER SYSTEMS,0885-8950,1558-0679,8.7,Q1,Q1
IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,0361-1434,1558-1500,1.7,Q2,Q2
IEEE Transactions on Quantum Engineering,,2689-1808,4.6,Q1,Q1|Q2
IEEE Transactions on Radar Systems,,2832-7357,3.5,Q2,Q2
IEEE Transactions on Radiation and Plasma Medical Sciences,2469-7311,2469-7303,3.8,Q1,Q1
IEEE TRANSACTIONS ON RELIABILITY,0018-9529,1558-1721,5.4,Q1,Q1
IEEE Transactions on Robotics,1552-3098,1941-0468,11.1,Q1,Q1
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,0894-6507,1558-2345,2.5,Q3,Q3
IEEE Transactions on Services Computing,1939-1374,1939-1374,6.2,Q1,Q1
IEEE Transactions on Signal and Information Processing over Networks,2373-776X,2373-776X,4.6,Q2,Q2
IEEE TRANSACTIONS ON SIGNAL PROCESSING,1053-587X,1941-0476,5.5,Q1,Q1
IEEE Transactions on Smart Grid,1949-3053,1949-3061,10.1,Q1,Q1
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,0098-5589,1939-3520,6.0,Q1,Q1
IEEE Transactions on Sustainable Computing,2377-3782,2377-3782,5.3,Q1,Q1|Q2
IEEE Transactions on Sustainable Energy,1949-3029,1949-3037,10.3,Q1,Q1
IEEE Transactions on Systems Man Cybernetics-Systems,2168-2216,2168-2232,8.4,Q1,Q1
IEEE Transactions on Technology and Society,,2637-6415,5.9,Q1,Q1
IEEE Transactions on Terahertz Science and Technology,2156-342X,2156-3446,3.6,Q2,Q2
IEEE Transactions on Transportation Electrification,2332-7782,2332-7782,8.5,Q1,Q1
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,0885-3010,1525-8955,4.0,Q1,Q1|Q2
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,0018-9545,1939-9359,7.5,Q1,Q1
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,1063-8210,1557-9999,3.2,Q2,Q2
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1077-2626,1941-0506,6.8,Q1,Q1
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1536-1276,1558-2248,10.3,Q1,Q1
IEEE Vehicular Technology Magazine,1556-6072,1556-6080,8.5,Q1,Q1
IEEE WIRELESS COMMUNICATIONS,1536-1284,1558-0687,13.4,Q1,Q1
IEEE Wireless Communications Letters,2162-2337,2162-2345,5.1,Q1,Q1|Q2
IEEJ Journal of Industry Applications,2187-1094,2187-1108,2.4,Q3,Q3
IEEJ Transactions on Electrical and Electronic Engineering,1931-4973,1931-4981,1.0,Q4,Q4
IEICE Communications Express,2187-0136,2187-0136,0.7,Q4,Q4
IEICE Electronics Express,1349-2543,1349-2543,1.0,Q4,Q4
IEICE Nonlinear Theory and Its Applications,2185-4106,2185-4106,0.6,Q4,Q4
IEICE TRANSACTIONS ON COMMUNICATIONS,0916-8516,1745-1345,1.1,Q4,Q4
IEICE TRANSACTIONS ON ELECTRONICS,0916-8524,1745-1353,0.6,Q4,Q4
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,0916-8508,1745-1337,0.6,Q4,Q4
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,0916-8532,1745-1361,0.8,Q4,Q4
iEnergy,,2771-9197,5.7,Q1,Q1|Q2
IET Biometrics,2047-4938,2047-4946,1.6,Q4,Q4
IET Circuits Devices & Systems,1751-858X,1751-8598,1.8,Q3,Q3
IET Collaborative Intelligent Manufacturing,,2516-8398,3.3,Q3,Q3
IET Communications,1751-8628,1751-8636,1.6,Q4,Q4
IET Computer Vision,1751-9632,1751-9640,1.4,Q4,Q4
IET Computers and Digital Techniques,1751-8601,1751-861X,1.1,Q3,Q3|Q4
IET Control Theory and Applications,1751-8644,1751-8652,2.0,Q3,Q3
IET Cyber-Physical Systems: Theory & Applications,,2398-3396,1.9,Q3,Q3
IET Cyber-systems and Robotics,,2631-6315,2.8,Q2,Q2|Q3
IET Electric Power Applications,1751-8660,1751-8679,1.8,Q3,Q3
IET Electrical Systems in Transportation,2042-9738,2042-9746,2.1,Q3,Q3
IET Energy Systems Integration,,2516-8401,2.5,Q3,Q3|Q4
IET Generation Transmission & Distribution,1751-8687,1751-8695,2.8,Q2,Q2
IET Image Processing,1751-9659,1751-9667,2.4,Q3,Q3
IET Information Security,1751-8709,1751-8717,2.0,Q2,Q2|Q3
IET Intelligent Transport Systems,1751-956X,1751-9578,2.7,Q3,Q3
IET Microwaves Antennas & Propagation,1751-8725,1751-8733,1.3,Q4,Q4
IET Nanobiotechnology,1751-8741,1751-875X,4.8,Q1,Q1|Q2
IET Nanodielectrics,,2514-3255,4.3,Q2,Q2|Q3
IET Networks,2047-4954,2047-4962,1.9,Q3,Q3
IET Optoelectronics,1751-8768,1751-8776,2.8,Q2,Q2|Q3
IET Power Electronics,1755-4535,1755-4543,2.3,Q3,Q3
IET Quantum Communication,,2632-8925,3.8,Q2,Q2|Q3
IET Radar Sonar and Navigation,1751-8784,1751-8792,1.5,Q4,Q4
IET Renewable Power Generation,1752-1416,1752-1424,3.2,Q2,Q2|Q3|Q4
IET Science Measurement & Technology,1751-8822,1751-8830,2.0,Q3,Q3
IET Signal Processing,1751-9675,1751-9683,1.4,Q4,Q4
IET Smart Cities,,2631-7680,3.4,Q2,Q2
IET Smart Grid,,2515-2947,3.1,Q2,Q2
IET Software,1751-8806,1751-8814,1.4,Q4,Q4
IET Systems Biology,1751-8849,1751-8857,1.9,Q3,Q3|Q4
IET Wireless Sensor Systems,2043-6386,2043-6394,2.5,Q3,Q3
IETE JOURNAL OF RESEARCH,0377-2063,0974-780X,1.4,Q4,Q4
IETE TECHNICAL REVIEW,0256-4602,0974-5971,2.3,Q3,Q3
IFAC Journal of Systems and Control,2468-6018,2468-6018,1.9,Q3,Q3
IFLA JOURNAL-INTERNATIONAL FEDERATION OF LIBRARY ASSOCIATIONS,0340-0352,1745-2651,1.8,Q2,Q2
iForest-Biogeosciences and Forestry,1971-7458,1971-7458,2.0,Q2,Q2
Ignaziana-Rivista di Ricerca Teologica,1828-2377,,<0.1,,
IHERINGIA SERIE BOTANICA,,2446-8231,0.6,Q4,Q4
IHERINGIA SERIE ZOOLOGIA,0073-4721,1678-4766,0.6,Q4,Q4
IHS Antiguos Jesuitas en Iberoamerica,2314-3908,2314-3908,<0.1,Q4,Q4
IIC-INTERNATIONAL REVIEW OF INTELLECTUAL PROPERTY AND COMPETITION LAW,0018-9855,2195-0237,1.1,Q2,Q2
IIM Kozhikode Society & Management Review,2277-9752,2321-029X,1.2,Q4,Q4
IIMB Management Review,0970-3896,2212-4446,1.6,Q3,Q3
IISE Transactions,2472-5854,2472-5862,2.6,Q2,Q2|Q3
IISE Transactions on Healthcare Systems Engineering,2472-5579,2472-5587,1.5,Q4,Q4
IISE Transactions on Occupational Ergonomics & Human Factors,2472-5838,2472-5846,1.9,Q3,Q3
IIUM Engineering Journal,1511-788X,2289-7860,1.1,Q3,Q3
IIUM Law Journal,0128-2530,2289-7852,0.4,Q3,Q3
IIUM Medical Journal Malaysia,1823-4631,2735-2285,0.4,Q4,Q4
Ijaz Arabi Journal of Arabic Learning,2620-5912,2620-5947,0.2,Q4,Q4
IJC Heart & Vasculature,,2352-9067,2.9,Q2,Q2
IJID Regions,,2772-7076,2.3,Q3,Q3
IJISPM-International Journal of Information Systems and Project Management,2182-7796,2182-7788,2.1,Q3,Q3
IJoLE-International Journal of Language Education,2548-8457,2548-8465,0.7,Q3,Q3
IJU Case Reports,,2577-171X,0.5,Q4,Q4
Il Pensiero Economico Italiano,1122-8784,1724-0581,0.1,Q4,Q4
Ilahiyat Studies-A Journal on Islamic and Religious Studies,1309-1786,1309-1719,0.1,,
Ilahiyat Tetkikleri Dergisi-Journal of Ilahiyat Researches,2458-7508,2602-3946,0.2,,
ILEF Dergisi,2148-7219,2458-9209,<0.1,Q4,Q4
Ilha do Desterro-A Journal of English Language Literatures in English and Cultural Studies,0101-4846,2175-8026,0.2,,
Illes i Imperis,1575-0698,2385-4219,0.3,Q2,Q2
ILLINOIS JOURNAL OF MATHEMATICS,0019-2082,1945-6581,0.6,Q3,Q3|Q4
ILR Review,0019-7939,2162-271X,2.3,Q2,Q2
Ilu-Revista de Ciencias de las Religiones,1135-4712,1988-3269,0.3,,
IMA Fungus,2210-6340,2210-6359,4.0,Q2,Q2
IMA JOURNAL OF APPLIED MATHEMATICS,0272-4960,1464-3634,2.2,Q1,Q1
IMA Journal of Management Mathematics,1471-678X,1471-6798,2.5,Q2,Q2|Q3
IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION,0265-0754,1471-6887,1.0,Q3,Q3|Q4
IMA JOURNAL OF NUMERICAL ANALYSIS,0272-4979,1464-3642,2.3,Q1,Q1
Imafronte-Revista de Historia del Arte,0213-392X,1989-4562,0.3,,
Image Analysis & Stereology,1580-3139,,1.3,Q2,Q2|Q4
IMAGE AND VISION COMPUTING,0262-8856,1872-8138,5.0,Q1,Q1|Q2
Image Processing On Line,2105-1232,2105-1232,1.2,Q4,Q4
Imagen Diagnostica,2171-3669,2171-9705,<0.1,Q4,Q4
Imagerie de la Femme,1776-9817,2214-8485,<0.1,Q4,Q4
Images,1871-7993,1871-8000,0.4,,
Imaging,,2732-0960,1.0,Q3,Q3
Imaging Neuroscience,,2837-6056,3.0,Q2,Q2|Q3
Imaging Science in Dentistry,2233-7822,2233-7830,2.3,Q2,Q2
IMAGING SCIENCE JOURNAL,1368-2199,1743-131X,1.3,Q4,Q4
Imago Mundi-The International Journal for the History of Cartography,0308-5694,1479-7801,0.7,Q1,Q1|Q2|Q3
Imago-Revista de Emblematica y Cultura Visual,2171-0147,2254-9633,0.1,,
Imago Temporis-Medium Aevum,1888-3931,2340-7778,0.2,Q3,Q3
Imagologiya i Komparativistika-Imagology and Comparative Studies,2409-9554,2409-9554,0.2,,
iMeta,2770-5986,2770-596X,44.4,Q1,Q1
IMF Economic Review,2041-4161,2041-417X,1.9,Q2,Q2|Q3
Immigrants and Minorities,0261-9288,1744-0521,0.3,Q2,Q2|Q4
Immune Network,1598-2629,2092-6685,5.9,Q1,Q1
Immunity,1074-7613,1097-4180,30.6,Q1,Q1
Immunity & Ageing,1742-4933,1742-4933,8.3,Q1,Q1
Immunity Inflammation and Disease,,2050-4527,3.5,Q2,Q2
Immuno,,2673-5601,2.7,Q3,Q3
IMMUNOBIOLOGY,0171-2985,1878-3279,3.1,Q3,Q3
IMMUNOGENETICS,0093-7711,1432-1211,2.1,Q3,Q3|Q4
IMMUNOLOGIC RESEARCH,0257-277X,1559-0755,2.7,Q3,Q3
IMMUNOLOGICAL INVESTIGATIONS,0882-0139,1532-4311,2.3,Q3,Q3
Immunological Medicine,,2578-5826,2.3,Q3,Q3
IMMUNOLOGICAL REVIEWS,0105-2896,1600-065X,10.6,Q1,Q1
IMMUNOLOGY,0019-2805,1365-2567,5.4,Q2,Q2
IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,0889-8561,1557-8607,3.1,Q2,Q2|Q3
IMMUNOLOGY AND CELL BIOLOGY,0818-9641,1440-1711,3.3,Q3,Q3
IMMUNOLOGY LETTERS,0165-2478,1879-0542,3.2,Q3,Q3
Immunometabolism,2633-0407,2633-0407,3.9,Q2,Q2
Immunopathologia Persa,2423-8015,2423-8015,0.9,Q4,Q4
IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,0892-3973,1532-2513,3.1,Q2,Q2|Q3
ImmunoTargets and Therapy,,2253-1556,4.1,Q2,Q2
Immunotherapy,1750-743X,1750-7448,2.3,Q3,Q3
Immunotherapy Advances,,2732-4303,4.4,Q2,Q2
Impact Assessment and Project Appraisal,1461-5517,1471-5465,2.4,Q3,Q3
Implantologie,0943-9692,0943-9692,0.1,Q4,Q4
Implementation Research and Practice,2633-4895,2633-4895,2.2,Q2,Q2|Q3
Implementation Science,1748-5908,1748-5908,10.2,Q1,Q1
Implementation Science Communications,,2662-2211,3.5,Q1,Q1|Q2
Impossibilia-Revista Internacional de Estudios Literarios,2174-2464,2174-2464,0.2,,
Improving Schools,1365-4802,1475-7583,2.7,Q1,Q1
IN BO-Ricerche e Progetti per il Territorio la Citta e l Architettura,2036-1602,2036-1602,<0.1,,
In die Skriflig-In Luce Verbi,1018-6441,2305-0853,0.2,,
In Education,1927-6117,1927-6117,0.5,Q4,Q4
IN PRACTICE,0263-841X,2042-7689,0.4,Q4,Q4
in silico Plants,,2517-5025,3.3,Q1,Q1|Q2
In Situ-Revue de Patrimoines,1630-7305,1630-7305,<0.1,,
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,1071-2690,1543-706X,2.0,Q3,Q3|Q4
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,1054-5476,1475-2689,2.2,Q2,Q2|Q4
In vitro models,2731-3433,2731-3441,3.0,Q3,Q3
IN VIVO,0258-851X,1791-7549,1.8,Q3,Q3
INDAGATIONES MATHEMATICAE-NEW SERIES,0019-3577,1872-6100,0.8,Q2,Q2
Independent Journal of Teaching and Learning,1818-9687,1818-9687,0.5,Q4,Q4
Independent Review,1086-1653,2169-3420,0.3,Q4,Q4
Index Comunicacion,2444-3239,2174-1859,1.0,Q3,Q3
INDEX ON CENSORSHIP,0306-4220,1746-6067,0.1,,
India Quarterly-A Journal of International Affairs,0974-9284,0975-2684,0.7,Q4,Q4
India Review,1473-6489,1557-3036,0.7,Q2,Q2
Indian Anaesthetists Forum,2589-7934,0973-0311,0.1,Q4,Q4
Indian Chemical Engineer,0019-4506,0975-007X,1.2,Q4,Q4
Indian Dermatology Online Journal,2229-5178,2249-5673,2.0,Q3,Q3
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,0019-4646,0973-0893,0.3,Q2,Q2
Indian Economic Review,0019-4670,2520-1778,0.7,Q4,Q4
Indian Geotechnical Journal,0971-9555,2277-3347,1.8,Q3,Q3
Indian Growth and Development Review,1753-8254,1753-8262,0.9,Q4,Q4
Indian Heart Journal,0019-4832,2213-3763,2.0,Q3,Q3
Indian Historical Review,0376-9836,0975-5977,0.1,Q3,Q3
INDIAN JOURNAL OF AGRICULTURAL SCIENCES,0019-5022,2394-3319,0.9,Q3,Q3
Indian Journal of Anaesthesia,0019-5049,0976-2817,2.2,Q2,Q2
Indian Journal of Animal Research,0367-6722,,0.9,Q4,Q4
INDIAN JOURNAL OF ANIMAL SCIENCES,0367-8318,0367-8318,0.4,Q4,Q4
INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS,0301-1208,0975-0959,1.2,Q4,Q4
INDIAN JOURNAL OF CANCER,0019-509X,1998-4774,0.8,Q4,Q4
INDIAN JOURNAL OF CHEMICAL TECHNOLOGY,0971-457X,0975-0991,0.9,Q4,Q4
INDIAN JOURNAL OF CHEMISTRY,0019-5103,0019-5103,0.7,Q4,Q4
